entity	label
http://dbpedia.org/resource/Japan	country
http://dbpedia.org/resource/Tokyo	city
http://dbpedia.org/resource/India	country
http://dbpedia.org/resource/New_Delhi	city
http://dbpedia.org/resource/Italy	country
http://dbpedia.org/resource/Rome	city
http://dbpedia.org/resource/France	country
http://dbpedia.org/resource/Paris	city
http://dbpedia.org/resource/China	country
http://dbpedia.org/resource/Beijing	city
http://dbpedia.org/resource/Germany	country
http://dbpedia.org/resource/Berlin	city
http://dbpedia.org/resource/Russia	country
http://dbpedia.org/resource/Moscow	city
http://dbpedia.org/resource/Buenos_Aires	city
http://dbpedia.org/resource/Argentina	country
http://dbpedia.org/resource/Ghana	country
http://dbpedia.org/resource/Accra	city
http://dbpedia.org/resource/Uruguay	country
http://dbpedia.org/resource/Montevideo	city
http://dbpedia.org/resource/Lima	city
http://dbpedia.org/resource/Peru	country
http://dbpedia.org/resource/Kenya	country
http://dbpedia.org/resource/Nairobi	city
http://dbpedia.org/resource/Windhoek	city
http://dbpedia.org/resource/Namibia	country
http://dbpedia.org/resource/Venezuela	country
http://dbpedia.org/resource/Caracas	city
http://dbpedia.org/resource/Zimbabwe	country
http://dbpedia.org/resource/Harare	city
http://dbpedia.org/resource/Angola	country
http://dbpedia.org/resource/Luanda	city
http://dbpedia.org/resource/Toronto	city
http://dbpedia.org/resource/Canada	country
http://dbpedia.org/resource/Egypt	country
http://dbpedia.org/resource/Cairo	city
http://dbpedia.org/resource/Panama_City	city
http://dbpedia.org/resource/Panama	country
